Players,Salary
Stephen Curry,45780966
Russell Westbrook,44211146
LeBron James,41180544
Kevin Durant,42018900
Bradley Beal,33724200
Damian Lillard,39344900
Giannis Antetokounmpo,39344970
Kawhi Leonard,39344900
Paul George,39344900
Klay Thompson,37980720
